Team,HR,R,RBI,IBB,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,Pitches,BB%,K%,OBP,SLG,OPS,ISO,BABIP,LD%,GB%,FB%,IFFB%,HR/FB,wOBA,wRAA,wRC,Pos,RAR,wRC+,Clutch,O-Swing%,Z-Swing%,Swing%,Age Rng,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,BsR
Yankees,4049,16169,15498,678,1278,902,551,2559,2045,665,0.268,32432,26060,14508,399336,9.50%,17.50%,0.344,0.44,0.784,0.172,0.298,19.90%,44.40%,35.70%,10.00%,13.20%,0.341,1665.6,16277,-308.8,4658.4,108,-12.98,24.70%,66.00%,44.20%,20 - 46,42.50%,32.50%,25.10%,17.00%,53.80%,29.20%,63.00%,88.20%,80.80%,47.20%,48.70%,63
Red Sox,3625,16128,15375,815,1123,992,451,2561,1588,556,0.272,31207,27833,15241,408834,9.20%,17.50%,0.344,0.441,0.786,0.169,0.307,20.50%,42.00%,37.50%,10.30%,11.10%,0.341,1671.1,16388,-307.2,4773.4,106,-22.1,24.90%,64.80%,44.00%,20 - 44,42.20%,32.60%,25.30%,15.70%,54.10%,30.30%,64.60%,88.40%,81.40%,48.00%,49.20%,-54.8
Rockies,3476,15610,14830,855,942,850,1370,2380,1812,815,0.272,31485,24210,15063,389168,8.40%,18.70%,0.338,0.438,0.776,0.166,0.314,21.30%,44.50%,34.20%,9.30%,11.90%,0.336,1105.9,15624,725.3,2791.8,89,-30.66,26.80%,67.80%,46.70%,20 - 49,38.30%,34.50%,27.20%,17.00%,54.80%,28.20%,62.20%,86.00%,79.00%,48.70%,50.30%,18.7
Rangers,3936,15800,15059,634,1106,934,679,2412,1864,727,0.269,31106,26773,14880,390531,8.20%,18.00%,0.333,0.441,0.774,0.173,0.301,20.50%,42.80%,36.80%,10.10%,12.30%,0.335,1093.6,15579,-305.5,3840.1,100,-17.39,27.00%,67.00%,46.20%,19 - 45,41.10%,33.40%,25.50%,16.10%,54.50%,29.40%,61.60%,86.80%,79.10%,47.90%,49.90%,110.4
Indians,3446,15187,14483,619,1185,940,734,2481,1773,714,0.264,31110,26009,14632,396036,9.00%,18.40%,0.336,0.425,0.761,0.161,0.302,20.40%,43.40%,36.20%,9.70%,10.80%,0.332,738.7,15254,-303.6,4066,103,-16.09,24.80%,65.80%,44.60%,20 - 43,43.00%,32.00%,25.00%,15.80%,55.30%,28.90%,62.40%,87.50%,80.30%,48.30%,49.20%,36.1
Cardinals,3370,14945,14208,1030,1195,892,1321,2570,1477,703,0.267,32659,25076,15132,383806,8.70%,17.50%,0.337,0.423,0.76,0.156,0.302,20.80%,44.80%,34.40%,9.70%,10.90%,0.33,495.4,14960,731.6,4976.8,102,-3.19,26.40%,67.80%,46.40%,19 - 42,39.90%,33.40%,26.70%,16.70%,55.10%,28.20%,63.30%,87.90%,80.70%,48.30%,50.20%,-5.8
Blue Jays,3759,15048,14360,531,1148,893,513,2561,1596,606,0.261,31027,27052,14579,388236,8.50%,17.90%,0.329,0.43,0.758,0.169,0.292,20.10%,42.70%,37.20%,11.30%,11.50%,0.33,526,14935,-308,3655.9,100,-27.48,26.10%,66.00%,45.20%,20 - 45,41.70%,32.80%,25.60%,16.40%,54.60%,29.00%,63.20%,87.60%,80.20%,47.80%,49.90%,-19.2
Tigers,3352,14538,13892,627,991,863,702,2535,1490,748,0.268,31051,26573,15171,383018,7.80%,18.00%,0.329,0.426,0.756,0.159,0.305,20.80%,42.70%,36.50%,9.50%,10.60%,0.328,365.6,14719,-305.8,3559.2,100,-36.02,28.10%,68.80%,47.50%,20 - 43,41.50%,32.20%,26.30%,15.70%,55.10%,29.20%,63.30%,87.10%,79.70%,47.70%,50.60%,-124.7
White Sox,3717,14551,13943,495,1161,850,779,2496,1876,873,0.262,31201,26323,14372,381881,7.90%,17.60%,0.326,0.425,0.75,0.163,0.292,20.00%,43.40%,36.60%,11.60%,11.90%,0.326,191.3,14445,-305.2,2971.5,97,-13.15,27.70%,67.30%,46.80%,21 - 44,42.20%,31.30%,26.60%,17.90%,54.60%,27.60%,63.00%,87.40%,79.90%,48.30%,50.30%,-143.7
Angels,3192,14678,13953,733,1036,931,765,2499,2224,914,0.266,32999,26364,14594,378476,7.90%,16.60%,0.329,0.416,0.745,0.15,0.298,19.70%,44.60%,35.60%,10.20%,10.00%,0.324,-36.6,14286,-308.4,4157.6,100,11.8,27.60%,66.00%,46.10%,19 - 43,41.00%,33.20%,25.80%,16.70%,56.10%,27.10%,64.00%,88.60%,80.90%,48.10%,50.20%,4.2
Orioles,3567,14258,13614,554,1034,847,606,2566,1621,667,0.262,31875,27055,14453,381742,7.70%,17.40%,0.324,0.42,0.743,0.157,0.293,19.70%,43.40%,36.90%,11.20%,11.30%,0.324,-87.9,14232,-303.1,3158.9,97,-16.06,28.10%,67.30%,46.90%,19 - 41,42.20%,32.40%,25.40%,17.30%,54.40%,28.40%,63.20%,87.80%,80.10%,48.00%,50.40%,-91.6
